,index,movie,name,gender,character,mentions,count,total centrality,average centrality
191,191,bin_phere_hum_tere,kiran,female,"mother, mother",2,5,7.333333333,1.466666667
192,192,gol_maal,bhavani,female,"sister, sister, sister",24,175,317.8333333,1.8161904759999998
193,193,gol_maal,ratna,female,"mother, mother, mother, sister",3,19,52.0,2.736842105
194,194,hamare_tumhare,komal,female,"daughter, daughter, daughter",3,17,82.33333333,4.843137255
195,195,jhoota_kahin_ka,woman,female,"wealthy,  gorgeous",2,13,169.4380952,13.03369963
196,196,mata_velankanni,mother,female,kind,14,145,272.0,1.875862069
197,197,mata_velankanni,mother,female,kind,14,145,272.0,1.875862069
198,198,mata_velankanni,mary,female,"mother, mother, mother, mother, mother, mother",16,175,568.3238094999999,3.2475646260000004
199,199,manzil,moushumi,female,rich,2,11,26.0,2.363636364
200,200,nauker,mother,female,"arrogant,  prospective",2,22,451.25,20.51136364
201,201,nauker,daughter,female,young,2,24,160.7666667,6.698611111
202,202,prem_bandhan,mahua,female,frantic,12,150,429.33333330000005,2.8622222219999998
203,203,prem_bandhan,mehra,female,wealthy,1,5,40.53333333,8.106666667
204,204,prem_vivah,woman,female,unmarried,1,13,69.0,5.307692308
205,205,prem_vivah,asha,female,"sister, sister, sister",13,91,190.33333330000002,2.091575092
206,206,saanch_ko_aanch_nahin,nirmala,female,"mother, mother",9,65,165.16666669999998,2.541025641
207,207,sawan_ko_aane_do,niece,female,young,1,8,39.0,4.875
208,208,solva_sawan,girl,female,"beautiful,  young",1,13,112.5,8.653846154
209,209,aap_ke_deewane,daughter,female,"common,  adopted",1,17,262.0,15.41176471
210,210,aasha,mala,female,"daughter, daughter, pregnant",7,58,108.0,1.862068966
211,211,aasha,mother,female,grieving,2,16,72.0,4.5
212,212,aasha,girl,female,little,1,12,102.0,8.5
213,213,aasha,aasha,female,"wife, daughter",16,174,115.66666670000001,0.664750958
214,214,abdullah,yashoda,female,"mortally,  wounded",2,26,101.0,3.884615385
215,215,abdullah,woman,female,pregnant,1,12,24.66666667,2.055555556
216,216,beqasoor,girl,female,"young,  simple",2,48,200.0,4.166666667
